nniMoves,edgeheights,constraintdists,estdists
0.5,27.0,14,20
0.5,31.0,20,26
0.5,24.0,16,20
0.5,33.0,20,24
0.5,31.0,18,20
0.5,29.0,18,22
0.5,36.0,16,24
0.5,30.0,18,24
0.5,21.0,12,14
0.5,32.0,18,18
0.5,28.0,20,24
0.5,26.0,12,14
0.5,27.0,20,20
0.5,27.0,14,18
0.5,28.0,16,22
0.5,24.0,18,22
0.5,16.0,10,14
0.5,39.0,24,34
0.5,16.0,10,18
0.5,27.0,20,22
0.5,25.0,16,24
0.5,21.0,16,20
0.5,26.0,14,18
0.5,32.0,14,16
0.5,25.0,20,26
0.5,46.0,26,32
0.5,32.0,20,24
0.5,20.0,18,18
0.5,33.0,20,30
0.5,33.0,16,24
0.5,18.0,10,10
0.5,26.0,18,22
0.5,25.0,18,18
0.5,24.0,16,26
0.5,26.0,20,24
0.5,32.0,18,22
0.5,34.0,18,22
0.5,33.0,16,26
0.5,26.0,18,20
0.5,30.0,20,24
0.5,19.0,10,14
0.5,20.0,18,18
0.5,24.0,16,24
0.5,29.0,18,18
0.5,30.0,18,32
0.5,28.0,16,20
0.5,41.0,26,30
0.5,33.0,18,24
0.5,34.0,18,18
0.5,23.0,14,18
0.5,24.0,18,22
0.5,33.0,20,20
0.5,41.0,26,30
0.5,27.0,18,22
0.5,30.0,16,16
0.5,33.0,18,24
0.5,36.0,24,30
0.5,22.0,16,24
0.5,24.0,12,14
0.5,50.0,28,36
0.5,30.0,16,16
0.5,33.0,20,24
0.5,31.0,20,24
0.5,28.0,14,22
0.5,28.0,22,28
0.5,27.0,20,26
0.5,40.0,24,24
0.5,22.0,16,18
0.5,45.0,24,28
0.5,25.0,14,26
0.5,15.0,12,12
0.5,22.0,12,16
0.5,11.0,6,6
0.5,23.0,12,12
0.5,22.0,12,16
0.5,31.0,20,20
0.5,29.0,24,28
0.5,40.0,28,30
0.5,16.0,12,14
0.5,25.0,14,14
0.5,34.0,20,30
0.5,19.0,14,18
0.5,41.0,22,26
0.5,30.0,14,18
0.5,34.0,18,20
0.5,29.0,22,26
0.5,33.0,20,26
0.5,20.0,16,16
0.5,34.0,16,24
0.5,24.0,16,20
0.5,20.0,12,18
0.5,27.0,22,28
0.5,8.0,6,8
0.5,38.0,22,22
0.5,39.0,24,40
0.5,32.0,20,22
0.5,34.0,18,32
0.5,26.0,16,22
0.5,25.0,12,18
0.5,15.0,10,14
0.5,21.0,14,18
0.5,25.0,14,14
0.5,29.0,16,18
0.5,29.0,14,16
0.5,21.0,16,22
0.5,32.0,18,26
0.5,24.0,16,24
0.5,37.0,22,32
0.5,20.0,14,22
0.5,28.0,16,16
0.5,13.0,10,10
0.5,19.0,14,14
0.5,34.0,16,26
0.5,33.0,24,26
0.5,29.0,18,24
0.5,27.0,18,28
0.5,23.0,14,20
0.5,28.0,20,22
0.5,30.0,18,18
0.5,33.0,18,22
0.5,20.0,14,14
0.5,28.0,14,14
0.5,11.0,8,8
0.5,35.0,22,24
0.5,26.0,12,14
0.5,33.0,16,24
0.5,28.0,14,20
0.5,39.0,32,36
0.5,20.0,10,10
0.5,33.0,16,26
0.5,25.0,14,14
0.5,26.0,16,18
0.5,32.0,16,24
0.5,26.0,16,24
0.5,52.0,28,32
0.5,23.0,18,18
0.5,20.0,12,16
0.5,35.0,24,32
0.5,29.0,16,18
0.5,19.0,10,14
0.5,32.0,20,24
0.5,15.0,8,8
0.5,33.0,24,24
0.5,29.0,16,20
0.5,40.0,24,30
0.5,25.0,14,16
0.5,36.0,28,30
0.5,32.0,22,26
0.5,41.0,20,30
0.5,30.0,14,16
0.5,31.0,22,30
0.5,28.0,16,28
0.5,32.0,16,22
0.5,46.0,28,36
0.5,33.0,18,18
0.5,22.0,14,16
0.5,19.0,12,14
0.5,17.0,16,16
0.5,39.0,26,38
0.5,18.0,12,16
0.5,14.0,14,14
0.5,30.0,20,24
0.5,28.0,20,20
0.5,32.0,22,30
0.5,27.0,12,14
0.5,37.0,22,32
0.5,37.0,20,30
0.5,32.0,18,20
0.5,26.0,16,26
0.5,34.0,18,20
0.5,24.0,12,18
0.5,24.0,16,24
0.5,31.0,16,22
0.5,23.0,18,20
0.5,27.0,16,16
0.5,26.0,12,12
0.5,37.0,22,30
0.5,30.0,16,16
0.5,16.0,14,20
0.5,30.0,14,18
0.5,37.0,24,30
0.5,30.0,14,14
0.5,27.0,18,18
0.5,17.0,10,14
0.5,20.0,16,24
0.5,33.0,18,22
0.5,25.0,16,22
0.5,11.0,8,10
0.5,32.0,20,26
0.5,24.0,20,26
0.5,34.0,20,20
0.5,30.0,20,26
0.5,29.0,18,22
0.5,19.0,14,20
0.5,21.0,16,20
0.5,16.0,12,12
0.5,41.0,24,26
0.5,24.0,18,18
0.5,29.0,16,22
0.5,38.0,20,30
0.5,32.0,20,24
0.5,24.0,16,28
0.5,39.0,26,38
0.5,31.0,14,18
0.5,11.0,14,14
0.5,37.0,22,32
0.5,28.0,16,18
0.5,24.0,18,20
0.5,41.0,18,22
0.5,34.0,16,20
0.5,21.0,12,12
0.5,33.0,26,26
0.5,39.0,26,34
0.5,24.0,12,14
0.5,35.0,20,28
0.5,12.0,8,10
0.5,23.0,12,16
0.5,23.0,16,16
0.5,36.0,20,30
0.5,21.0,14,22
0.5,32.0,20,20
0.5,40.0,22,26
0.5,31.0,20,24
0.5,34.0,20,24
0.5,24.0,14,18
0.5,30.0,18,20
0.5,33.0,20,26
0.5,23.0,12,12
0.5,24.0,16,18
0.5,26.0,20,24
0.5,32.0,16,16
0.5,20.0,16,20
0.5,16.0,14,18
0.5,31.0,14,14
0.5,29.0,18,18
0.5,32.0,22,24
0.5,24.0,16,16
0.5,29.0,16,24
0.5,37.0,18,24
0.5,26.0,12,20
0.5,19.0,12,12
0.5,18.0,12,12
0.5,27.0,14,20
0.5,25.0,18,26
0.5,16.0,12,16
0.5,35.0,16,22
0.5,28.0,20,20
0.5,14.0,8,8
0.5,30.0,18,22
0.5,19.0,12,12
0.5,32.0,20,26
0.5,29.0,10,10
0.5,19.0,14,18
0.5,11.0,12,12
