numtaxa,nretics_true,nretics_est,nretics_inside,nretics_outside,nretics_duplicated,constraint_sizes,estRFerror,gauss_error,constraint_error_sum,replicate_num
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",0.0,0.36954564057320727,0.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",22.0,1.1174849335427812,12.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",32.0,1.0630414233782275,26.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",34.0,0.4377181082522855,26.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",46.0,0.7207630501905514,26.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,3.064047935593078,6.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",24.0,0.10917031938068303,20.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",26.0,0.4638236940847959,16.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",32.0,0.34700654933649044,22.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",6.0,0.45275814063057623,4.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",14.0,1.1869300606113975,12.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",40.0,0.68111232279972,28.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",6.0,0.05661489822328561,6.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",0.0,0.07620289134712019,0.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",22.0,0.4340917709152229,20.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,1.5674106524126818,30.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,5.259221427450527,10.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",20.0,0.42626525481750277,16.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",38.0,2.3825734002505654,14.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,1.9972746411021116,24.0,1
50,2,-1.0,2,0,0,"11, 9, 13, 8, 10",-1.0,3.5768702117311,10.0,1
50,2,2.0,2,0,0,"11, 9, 13, 8, 10",28.0,0.06844384742650031,20.0,1
