net_id,hwcd,sum_constraint_hwcd,gauss_sd,nretics_est,major_tree_only,m,force_unrooted
n50r2,0.0,0.0,0.0,0.0,true,15,true
n50r2,-1.0,-1.0,-1.0,5.045457172044128,true,15,true
n50r2,-1.0,-1.0,-1.0,5.098231758403049,true,15,true
n50r2,-1.0,-1.0,-1.0,5.6149752500093655,true,15,true
n50r2,-1.0,-1.0,-1.0,5.344647739288241,true,15,true
n50r2,18.0,18.0,18.0,1.722502790349133,true,15,true
n50r2,-1.0,-1.0,-1.0,4.7282931085961435,true,15,true
n50r2,-1.0,-1.0,-1.0,3.4101522485430826,true,15,true
n50r2,-1.0,-1.0,-1.0,3.4681685580202184,true,15,true
n50r2,-1.0,-1.0,-1.0,4.676629208702436,true,15,true
n50r2,-1.0,-1.0,-1.0,4.92547870347733,true,15,true
n50r2,24.0,22.0,24.0,2.7719757103870517,true,15,true
n50r2,24.0,18.0,24.0,0.6247724018498575,true,15,true
n50r2,-1.0,-1.0,-1.0,4.49106079847503,true,15,true
n50r2,-1.0,-1.0,-1.0,5.3184154475920105,true,15,true
n50r2,-1.0,-1.0,-1.0,4.682094905195668,true,15,true
n50r2,14.0,10.0,14.0,2.3008113472374627,true,15,true
n50r2,-1.0,-1.0,-1.0,5.696710725120284,true,15,true
n50r2,-1.0,-1.0,-1.0,3.778723301152428,true,15,true
n50r2,-1.0,-1.0,-1.0,3.7678407218368766,true,15,true
n50r2,-1.0,-1.0,-1.0,4.152602130650698,true,15,true
n50r2,-1.0,-1.0,-1.0,5.03602219179784,true,15,true
n50r2,-1.0,-1.0,-1.0,4.6288091656883585,true,15,true
n50r2,-1.0,-1.0,-1.0,2.543268711934736,true,15,true
n50r2,-1.0,-1.0,-1.0,5.580570292569596,true,15,true
n50r2,-1.0,-1.0,-1.0,2.684250766846223,true,15,true
n50r2,14.0,10.0,14.0,1.5395480873673906,true,15,true
n50r2,-1.0,-1.0,-1.0,4.477779187442678,true,15,true
n50r2,14.0,14.0,14.0,1.7908513493435798,true,15,true
n50r2,2.0,2.0,2.0,1.0586372720409105,true,15,true
n50r2,30.0,26.0,30.0,2.4752853189540946,true,15,true
n50r2,-1.0,-1.0,-1.0,3.9107375732803793,true,15,true
n50r2,22.0,20.0,22.0,1.1671233812317723,true,15,true
n50r2,14.0,10.0,14.0,2.3535089045901527,true,15,true
n50r2,12.0,12.0,12.0,1.035783190385694,true,15,true
n50r2,-1.0,-1.0,-1.0,3.9089590704545416,true,15,true
n50r2,-1.0,-1.0,-1.0,5.239686679809886,true,15,true
n50r2,-1.0,-1.0,-1.0,5.138513476480915,true,15,true
n50r2,-1.0,-1.0,-1.0,3.668129064102858,true,15,true
n50r2,-1.0,-1.0,-1.0,3.6695009201786037,true,15,true
n50r2,-1.0,-1.0,-1.0,5.665888805932956,true,15,true
n50r2,-1.0,-1.0,-1.0,5.7337151361286764,true,15,true
n50r2,-1.0,-1.0,-1.0,3.8511140759342077,true,15,true
n50r2,20.0,16.0,20.0,1.363705509217581,true,15,true
n50r2,-1.0,-1.0,-1.0,4.908497949048221,true,15,true
n50r2,-1.0,-1.0,-1.0,5.266049868480214,true,15,true
n50r2,-1.0,-1.0,-1.0,5.656429860595512,true,15,true
n50r2,40.0,22.0,40.0,1.2117627991843456,true,15,true
n50r2,14.0,12.0,14.0,2.540027129824844,true,15,true
n50r2,-1.0,-1.0,-1.0,3.466308029737636,true,15,true
n50r2,18.0,16.0,18.0,0.24629090403843118,true,15,true
n50r2,-1.0,-1.0,-1.0,4.322249995565605,true,15,true
n50r2,-1.0,-1.0,-1.0,4.946855053171865,true,15,true
n50r2,-1.0,-1.0,-1.0,4.253852661587859,true,15,true
n50r2,28.0,28.0,28.0,1.2324658130637771,true,15,true
