num_nets_with_moves,num_total_moves,est_errors,constraint_diffs,net_id
1,1,4.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,12.0,2.0,n500r25
8,1,12.0,2.0,n500r25
15,1,12.0,2.0,n500r25
21,1,12.0,2.0,n500r25
1,5,6.0,4.0,n100r5
3,5,10.0,10.0,n100r5
5,5,12.0,10.0,n100r5
1,5,6.0,6.0,n500r25
8,5,22.0,16.0,n500r25
15,5,64.0,20.0,n500r25
21,5,22.0,10.0,n500r25
1,15,12.0,10.0,n100r5
3,15,22.0,20.0,n100r5
5,15,30.0,26.0,n100r5
1,15,38.0,34.0,n500r25
8,15,40.0,30.0,n500r25
15,15,62.0,52.0,n500r25
21,15,44.0,30.0,n500r25
1,20,16.0,12.0,n100r5
3,20,40.0,30.0,n100r5
5,20,34.0,32.0,n100r5
1,20,40.0,30.0,n500r25
8,20,78.0,56.0,n500r25
15,20,60.0,40.0,n500r25
21,20,70.0,40.0,n500r25
1,35,14.0,12.0,n100r5
3,35,46.0,44.0,n100r5
5,35,66.0,64.0,n100r5
1,35,40.0,28.0,n500r25
8,35,-1.0,76.0,n500r25
15,35,84.0,66.0,n500r25
21,35,-1.0,86.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,12.0,2.0,n500r25
8,1,12.0,2.0,n500r25
15,1,2.0,2.0,n500r25
21,1,2.0,2.0,n500r25
1,5,8.0,8.0,n100r5
3,5,22.0,24.0,n100r5
5,5,10.0,10.0,n100r5
1,5,20.0,10.0,n500r25
8,5,36.0,10.0,n500r25
15,5,20.0,10.0,n500r25
21,5,24.0,6.0,n500r25
1,15,32.0,30.0,n100r5
3,15,42.0,42.0,n100r5
5,15,30.0,20.0,n100r5
1,15,-1.0,36.0,n500r25
8,15,42.0,30.0,n500r25
15,15,62.0,30.0,n500r25
21,15,30.0,30.0,n500r25
1,20,26.0,26.0,n100r5
3,20,34.0,38.0,n100r5
5,20,32.0,32.0,n100r5
1,20,8.0,8.0,n500r25
8,20,80.0,46.0,n500r25
15,20,42.0,40.0,n500r25
21,20,42.0,32.0,n500r25
1,35,30.0,30.0,n100r5
3,35,46.0,46.0,n100r5
5,35,50.0,44.0,n100r5
1,35,34.0,34.0,n500r25
8,35,78.0,62.0,n500r25
15,35,90.0,80.0,n500r25
21,35,94.0,68.0,n500r25
1,1,2.0,2.0,n100r5
3,1,14.0,14.0,n100r5
5,1,4.0,2.0,n100r5
1,1,2.0,2.0,n500r25
8,1,12.0,2.0,n500r25
15,1,2.0,2.0,n500r25
21,1,2.0,2.0,n500r25
1,5,10.0,10.0,n100r5
3,5,10.0,10.0,n100r5
5,5,10.0,10.0,n100r5
1,5,20.0,10.0,n500r25
8,5,28.0,10.0,n500r25
15,5,20.0,10.0,n500r25
21,5,10.0,10.0,n500r25
1,15,26.0,26.0,n100r5
3,15,32.0,30.0,n100r5
5,15,26.0,26.0,n100r5
1,15,42.0,28.0,n500r25
8,15,70.0,30.0,n500r25
15,15,44.0,26.0,n500r25
21,15,26.0,26.0,n500r25
1,20,36.0,34.0,n100r5
3,20,38.0,32.0,n100r5
5,20,48.0,48.0,n100r5
1,20,28.0,28.0,n500r25
8,20,52.0,46.0,n500r25
15,20,80.0,38.0,n500r25
21,20,72.0,46.0,n500r25
1,35,32.0,32.0,n100r5
3,35,58.0,58.0,n100r5
5,35,56.0,54.0,n100r5
1,35,44.0,34.0,n500r25
8,35,76.0,66.0,n500r25
15,35,60.0,60.0,n500r25
21,35,74.0,68.0,n500r25
1,1,2.0,2.0,n100r5
3,1,2.0,2.0,n100r5
5,1,4.0,2.0,n100r5
1,1,12.0,2.0,n500r25
8,1,2.0,2.0,n500r25
15,1,12.0,2.0,n500r25
21,1,2.0,2.0,n500r25
1,5,22.0,24.0,n100r5
3,5,12.0,10.0,n100r5
5,5,10.0,10.0,n100r5
1,5,10.0,10.0,n500r25
8,5,10.0,10.0,n500r25
15,5,20.0,10.0,n500r25
21,5,20.0,10.0,n500r25
1,15,16.0,14.0,n100r5
3,15,30.0,28.0,n100r5
5,15,54.0,46.0,n100r5
1,15,36.0,22.0,n500r25
8,15,38.0,28.0,n500r25
15,15,42.0,30.0,n500r25
21,15,52.0,36.0,n500r25
1,20,32.0,32.0,n100r5
3,20,40.0,38.0,n100r5
5,20,56.0,54.0,n100r5
1,20,34.0,32.0,n500r25
8,20,54.0,34.0,n500r25
15,20,78.0,60.0,n500r25
21,20,104.0,66.0,n500r25
1,35,30.0,28.0,n100r5
3,35,56.0,56.0,n100r5
5,35,36.0,36.0,n100r5
1,35,28.0,28.0,n500r25
8,35,66.0,64.0,n500r25
15,35,112.0,96.0,n500r25
21,35,84.0,70.0,n500r25
1,1,2.0,2.0,n100r5
3,1,4.0,2.0,n100r5
5,1,2.0,2.0,n100r5
1,1,4.0,2.0,n500r25
8,1,18.0,2.0,n500r25
15,1,2.0,2.0,n500r25
21,1,2.0,2.0,n500r25
1,5,12.0,10.0,n100r5
3,5,12.0,10.0,n100r5
5,5,22.0,22.0,n100r5
1,5,16.0,10.0,n500r25
8,5,20.0,10.0,n500r25
15,5,10.0,10.0,n500r25
21,5,20.0,10.0,n500r25
1,15,22.0,22.0,n100r5
3,15,28.0,24.0,n100r5
5,15,42.0,42.0,n100r5
1,15,34.0,24.0,n500r25
8,15,-1.0,40.0,n500r25
15,15,40.0,30.0,n500r25
21,15,42.0,30.0,n500r25
1,20,30.0,26.0,n100r5
3,20,28.0,26.0,n100r5
5,20,28.0,28.0,n100r5
1,20,34.0,28.0,n500r25
8,20,68.0,50.0,n500r25
15,20,82.0,52.0,n500r25
21,20,44.0,38.0,n500r25
1,35,18.0,16.0,n100r5
3,35,54.0,52.0,n100r5
5,35,76.0,74.0,n100r5
1,35,42.0,46.0,n500r25
8,35,94.0,80.0,n500r25
15,35,62.0,60.0,n500r25
21,35,80.0,70.0,n500r25
1,1,4.0,2.0,n100r5
